 #     R_sun        mass_sun           L_sun            logR            logT            logP          logRho          Csound              dm           nu_pp          nu_pep          nu_hep          nu_7Be           nu_8B          nu_13N          nu_15O          nu_17F          log_ne              H1             He4             He3             C12             C13             N14             N15             O16             O17             O18              Ne              Na              Mg              Al              Si               P               S              Cl              Ar               K              Ca              Sc              Ti               V              Cr              Mn              Fe              Co              Ni
   5.000e-03     1.33016e-05     1.13301e-04     8.54157e+00     7.19244e+00     1.73604e+01     2.17528e+00     5.04990e+07     4.00444e-06      5.05688e-02      7.96729e-02      2.08800e-02      2.47458e-01      6.14634e-01      3.91864e-01      5.26954e-01      5.74244e-01     2.00285e+00     3.46650e-01     6.33575e-01     8.18393e-06     1.16226e-05     3.24699e-06     5.37557e-03     1.14163e-07     7.39753e-03     5.24051e-04     1.90458e-05     2.39294e-03     4.12593e-05     7.74581e-04     6.84005e-05     8.75941e-04     7.85205e-06     4.36537e-04     5.80284e-06     1.03788e-04     4.42063e-06     7.02908e-05     4.64280e-08     3.66465e-06     4.37585e-07     2.13773e-05     1.56261e-05     1.52012e-03     4.11476e-06     8.76148e-05
   5.500e-03     1.77002e-05     1.50738e-04     8.58296e+00     7.19240e+00     1.73602e+01     2.17511e+00     5.05003e+07     4.84339e-06      6.11669e-02      9.63463e-02      2.52715e-02      2.98999e-01      7.41780e-01      4.72946e-01      6.35987e-01      6.93025e-01     2.00273e+00     3.46806e-01     6.33420e-01     8.19594e-06     1.16201e-05     3.24627e-06     5.37557e-03     1.14164e-07     7.39868e-03     5.22904e-04     1.90458e-05     2.39295e-03     4.12591e-05     7.74581e-04     6.84003e-05     8.75938e-04     7.85203e-06     4.36536e-04     5.80283e-06     1.03787e-04     4.42061e-06     7.02905e-05     4.64279e-08     3.66464e-06     4.37583e-07     2.13773e-05     1.56260e-05     1.52011e-03     4.11475e-06     8.76145e-05
   6.000e-03     2.29738e-05     1.95604e-04     8.62075e+00     7.19234e+00     1.73600e+01     2.17492e+00     5.05016e+07     5.76152e-06      7.27666e-02      1.14586e-01      3.00842e-02      3.55282e-01      8.80282e-01      5.61275e-01      7.54767e-01      8.22407e-01     2.00259e+00     3.46975e-01     6.33251e-01     8.20910e-06     1.16171e-05     3.24545e-06     5.37551e-03     1.14166e-07     7.39986e-03     5.21647e-04     1.90458e-05     2.39293e-03     4.12586e-05     7.74572e-04     6.83995e-05     8.75927e-04     7.85193e-06     4.36530e-04     5.80275e-06     1.03786e-04     4.42056e-06     7.02897e-05     4.64273e-08     3.66459e-06     4.37578e-07     2.13770e-05     1.56258e-05     1.52009e-03     4.11470e-06     8.76134e-05
   6.500e-03     2.92008e-05     2.48562e-04     8.65551e+00     7.19229e+00     1.73599e+01     2.17471e+00     5.05031e+07     6.75842e-06      8.53634e-02      1.34381e-01      3.53179e-02      4.16254e-01      1.02991e+00      6.56707e-01      8.83097e-01      9.62173e-01     2.00244e+00     3.47161e-01     6.33066e-01     8.22343e-06     1.16136e-05     3.24449e-06     5.37533e-03     1.14165e-07     7.40099e-03     5.20272e-04     1.90452e-05     2.39285e-03     4.12573e-05     7.74548e-04     6.83973e-05     8.75899e-04     7.85168e-06     4.36517e-04     5.80257e-06     1.03783e-04     4.42042e-06     7.02874e-05     4.64259e-08     3.66448e-06     4.37564e-07     2.13763e-05     1.56253e-05     1.52003e-03     4.11457e-06     8.76107e-05
   7.000e-03     3.64599e-05     3.10272e-04     8.68770e+00     7.19222e+00     1.73597e+01     2.17449e+00     5.05047e+07     7.83459e-06      9.89639e-02      1.55741e-01      4.09771e-02      4.81906e-01      1.19056e+00      7.59176e-01      1.02089e+00      1.11222e+00     2.00229e+00     3.47361e-01     6.32866e-01     8.23892e-06     1.16105e-05     3.24364e-06     5.37542e-03     1.14171e-07     7.40261e-03     5.18821e-04     1.90456e-05     2.39292e-03     4.12583e-05     7.74566e-04     6.83988e-05     8.75919e-04     7.85186e-06     4.36526e-04     5.80270e-06     1.03785e-04     4.42052e-06     7.02890e-05     4.64269e-08     3.66456e-06     4.37574e-07     2.13768e-05     1.56257e-05     1.52006e-03     4.11466e-06     8.76126e-05
   7.500e-03     4.48295e-05     3.81388e-04     8.71766e+00     7.19216e+00     1.73595e+01     2.17425e+00     5.05064e+07     8.98872e-06      1.13552e-01      1.78635e-01      4.70569e-02      5.52121e-01      1.36182e+00      8.68421e-01      1.16780e+00      1.27217e+00     2.00212e+00     3.47574e-01     6.32652e-01     8.25557e-06     1.16071e-05     3.24270e-06     5.37549e-03     1.14175e-07     7.40426e-03     5.17261e-04     1.90460e-05     2.39296e-03     4.12589e-05     7.74577e-04     6.83998e-05     8.75932e-04     7.85197e-06     4.36533e-04     5.80279e-06     1.03787e-04     4.42058e-06     7.02901e-05     4.64276e-08     3.66461e-06     4.37580e-07     2.13771e-05     1.56259e-05     1.52008e-03     4.11472e-06     8.76139e-05
   8.000e-03     5.43872e-05     4.62561e-04     8.74569e+00     7.19209e+00     1.73592e+01     2.17400e+00     5.05082e+07     1.02209e-05      1.29129e-01      2.03065e-01      5.35603e-02      6.26867e-01      1.54351e+00      9.84332e-01      1.32367e+00      1.44185e+00     2.00194e+00     3.47804e-01     6.32423e-01     8.27338e-06     1.16031e-05     3.24161e-06     5.37542e-03     1.14177e-07     7.40587e-03     5.15588e-04     1.90459e-05     2.39293e-03     4.12586e-05     7.74574e-04     6.83995e-05     8.75927e-04     7.85193e-06     4.36530e-04     5.80275e-06     1.03786e-04     4.42056e-06     7.02897e-05     4.64273e-08     3.66459e-06     4.37578e-07     2.13770e-05     1.56258e-05     1.52008e-03     4.11470e-06     8.76134e-05
   8.500e-03     6.52110e-05     5.54440e-04     8.77202e+00     7.19201e+00     1.73590e+01     2.17373e+00     5.05102e+07     1.15314e-05      1.45699e-01      2.29031e-01      6.04912e-02      7.06114e-01      1.73543e+00      1.10679e+00      1.48834e+00      1.62107e+00     2.00175e+00     3.48047e-01     6.32179e-01     8.29238e-06     1.15991e-05     3.24050e-06     5.37544e-03     1.14182e-07     7.40768e-03     5.13821e-04     1.90461e-05     2.39297e-03     4.12590e-05     7.74581e-04     6.84002e-05     8.75936e-04     7.85201e-06     4.36535e-04     5.80281e-06     1.03787e-04     4.42060e-06     7.02904e-05     4.64278e-08     3.66463e-06     4.37582e-07     2.13772e-05     1.56260e-05     1.52009e-03     4.11474e-06     8.76143e-05
   9.000e-03     7.73785e-05     6.57668e-04     8.79685e+00     7.19192e+00     1.73587e+01     2.17344e+00     5.05122e+07     1.29195e-05      1.63252e-01      2.56516e-01      6.78475e-02      7.89766e-01      1.93724e+00      1.23557e+00      1.66151e+00      1.80951e+00     2.00154e+00     3.48306e-01     6.31921e-01     8.31254e-06     1.15943e-05     3.23919e-06     5.37522e-03     1.14181e-07     7.40927e-03     5.11931e-04     1.90455e-05     2.39289e-03     4.12577e-05     7.74556e-04     6.83979e-05     8.75907e-04     7.85174e-06     4.36520e-04     5.80262e-06     1.03784e-04     4.42046e-06     7.02880e-05     4.64262e-08     3.66451e-06     4.37568e-07     2.13765e-05     1.56254e-05     1.52003e-03     4.11460e-06     8.76114e-05
   9.500e-03     9.09666e-05     7.72880e-04     8.82033e+00     7.19185e+00     1.73585e+01     2.17314e+00     5.05143e+07     1.43853e-05      1.81793e-01      2.85521e-01      7.56337e-02      8.77794e-01      2.14873e+00      1.37055e+00      1.84302e+00      2.00698e+00     2.00133e+00     3.48578e-01     6.31648e-01     8.33388e-06     1.15898e-05     3.23793e-06     5.37520e-03     1.14185e-07     7.41124e-03     5.09960e-04     1.90456e-05     2.39290e-03     4.12578e-05     7.74559e-04     6.83981e-05     8.75910e-04     7.85178e-06     4.36522e-04     5.80264e-06     1.03784e-04     4.42047e-06     7.02883e-05     4.64264e-08     3.66452e-06     4.37569e-07     2.13766e-05     1.56255e-05     1.52004e-03     4.11462e-06     8.76117e-05
