 #     R_sun        mass_sun           L_sun            logR            logT            logP          logRho          Csound              dm           nu_pp          nu_pep          nu_hep          nu_7Be           nu_8B          nu_13N          nu_15O          nu_17F          log_ne              H1             He4             He3             C12             C13             N14             N15             O16             O17             O18              Ne              Na              Mg              Al              Si               P               S              Cl              Ar               K              Ca              Sc              Ti               V              Cr              Mn              Fe              Co              Ni
   7.250e-02     3.30946e-02     2.30402e-01     9.70294e+00     7.14914e+00     1.72266e+01     2.03296e+00     5.10107e+07     6.06669e-04      6.78965e+00      8.63268e+00      4.21298e+00      1.20909e+01      9.52342e+00      7.84778e+00      1.05558e+01      1.00471e+01     1.89850e+00     4.69020e-01     5.11336e-01     2.40254e-05     9.44032e-06     2.64536e-06     5.34382e-03     1.15666e-07     7.78528e-03     6.57620e-05     1.89208e-05     2.37807e-03     4.09942e-05     7.69683e-04     6.79610e-05     8.70313e-04     7.80160e-06     4.33732e-04     5.76556e-06     1.03121e-04     4.39222e-06     6.98391e-05     4.61297e-08     3.64110e-06     4.34773e-07     2.12400e-05     1.55256e-05     1.50946e-03     4.08832e-06     8.70518e-05
   7.300e-02     3.37017e-02     2.33997e-01     9.70593e+00     7.14859e+00     1.72250e+01     2.03131e+00     5.10099e+07     6.12733e-04      6.83515e+00      8.66820e+00      4.25828e+00      1.20163e+01      9.31943e+00      7.71919e+00      1.03830e+01      9.86019e+00     1.89723e+00     4.70341e-01     5.10017e-01     2.43036e-05     9.41547e-06     2.63849e-06     5.34352e-03     1.15686e-07     7.78632e-03     6.40399e-05     1.89194e-05     2.37789e-03     4.09911e-05     7.69627e-04     6.79559e-05     8.70247e-04     7.80101e-06     4.33700e-04     5.76513e-06     1.03113e-04     4.39189e-06     6.98339e-05     4.61263e-08     3.64083e-06     4.34741e-07     2.12384e-05     1.55245e-05     1.50934e-03     4.08802e-06     8.70453e-05
   7.350e-02     3.43149e-02     2.37609e-01     9.70889e+00     7.14805e+00     1.72233e+01     2.02964e+00     5.10090e+07     6.18779e-04      6.87975e+00      8.70225e+00      4.30332e+00      1.19395e+01      9.11698e+00      7.59073e+00      1.02103e+01      9.67416e+00     1.89595e+00     4.71662e-01     5.08699e-01     2.45853e-05     9.38990e-06     2.63143e-06     5.34285e-03     1.15698e-07     7.78677e-03     6.23525e-05     1.89166e-05     2.37756e-03     4.09853e-05     7.69518e-04     6.79463e-05     8.70124e-04     7.79991e-06     4.33638e-04     5.76431e-06     1.03098e-04     4.39127e-06     6.98240e-05     4.61197e-08     3.64032e-06     4.34679e-07     2.12354e-05     1.55223e-05     1.50913e-03     4.08744e-06     8.70330e-05
   7.400e-02     3.49340e-02     2.41239e-01     9.71183e+00     7.14751e+00     1.72217e+01     2.02798e+00     5.10080e+07     6.24819e-04      6.92357e+00      8.73496e+00      4.34817e+00      1.18606e+01      8.91626e+00      7.46260e+00      1.00381e+01      9.48919e+00     1.89468e+00     4.72983e-01     5.07379e-01     2.48707e-05     9.36500e-06     2.62454e-06     5.34256e-03     1.15718e-07     7.78777e-03     6.07079e-05     1.89152e-05     2.37739e-03     4.09825e-05     7.69466e-04     6.79418e-05     8.70066e-04     7.79939e-06     4.33609e-04     5.76392e-06     1.03092e-04     4.39098e-06     6.98193e-05     4.61167e-08     3.64007e-06     4.34650e-07     2.12339e-05     1.55212e-05     1.50901e-03     4.08716e-06     8.70272e-05
   7.450e-02     3.55593e-02     2.44885e-01     9.71476e+00     7.14695e+00     1.72199e+01     2.02630e+00     5.10067e+07     6.30869e-04      6.96680e+00      8.76662e+00      4.39296e+00      1.17802e+01      8.71760e+00      7.33502e+00      9.86654e+00      9.30555e+00     1.89340e+00     4.74305e-01     5.06058e-01     2.51600e-05     9.33979e-06     2.61758e-06     5.34213e-03     1.15735e-07     7.78852e-03     5.90985e-05     1.89133e-05     2.37717e-03     4.09785e-05     7.69392e-04     6.79351e-05     8.69981e-04     7.79863e-06     4.33567e-04     5.76336e-06     1.03082e-04     4.39055e-06     6.98125e-05     4.61122e-08     3.63972e-06     4.34607e-07     2.12319e-05     1.55197e-05     1.50885e-03     4.08676e-06     8.70187e-05
   7.500e-02     3.61906e-02     2.48547e-01     9.71767e+00     7.14640e+00     1.72183e+01     2.02463e+00     5.10052e+07     6.36909e-04      7.00918e+00      8.79696e+00      4.43752e+00      1.16979e+01      8.52084e+00      7.20787e+00      9.69563e+00      9.12309e+00     1.89211e+00     4.75628e-01     5.04738e-01     2.54530e-05     9.31419e-06     2.61050e-06     5.34151e-03     1.15749e-07     7.78894e-03     5.75239e-05     1.89107e-05     2.37685e-03     4.09730e-05     7.69289e-04     6.79260e-05     8.69864e-04     7.79758e-06     4.33509e-04     5.76259e-06     1.03068e-04     4.38996e-06     6.98031e-05     4.61060e-08     3.63923e-06     4.34549e-07     2.12290e-05     1.55177e-05     1.50864e-03     4.08622e-06     8.70070e-05
   7.550e-02     3.68277e-02     2.52224e-01     9.72055e+00     7.14585e+00     1.72165e+01     2.02294e+00     5.10036e+07     6.42918e-04      7.05053e+00      8.82570e+00      4.48170e+00      1.16134e+01      8.32587e+00      7.08105e+00      9.52514e+00      8.94169e+00     1.89081e+00     4.76949e-01     5.03418e-01     2.57498e-05     9.28919e-06     2.60359e-06     5.34127e-03     1.15771e-07     7.78988e-03     5.59904e-05     1.89094e-05     2.37670e-03     4.09706e-05     7.69242e-04     6.79219e-05     8.69811e-04     7.79711e-06     4.33483e-04     5.76224e-06     1.03061e-04     4.38970e-06     6.97989e-05     4.61032e-08     3.63901e-06     4.34523e-07     2.12277e-05     1.55167e-05     1.50855e-03     4.08597e-06     8.70017e-05
   7.600e-02     3.74708e-02     2.55916e-01     9.72341e+00     7.14530e+00     1.72148e+01     2.02126e+00     5.10019e+07     6.48932e-04      7.09120e+00      8.85328e+00      4.52575e+00      1.15275e+01      8.13317e+00      6.95491e+00      9.35559e+00      8.76186e+00     1.88953e+00     4.78271e-01     5.02097e-01     2.60504e-05     9.26379e-06     2.59658e-06     5.34083e-03     1.15789e-07     7.79050e-03     5.44902e-05     1.89074e-05     2.37647e-03     4.09665e-05     7.69166e-04     6.79151e-05     8.69725e-04     7.79633e-06     4.33439e-04     5.76166e-06     1.03051e-04     4.38926e-06     6.97919e-05     4.60986e-08     3.63865e-06     4.34479e-07     2.12256e-05     1.55152e-05     1.50839e-03     4.08556e-06     8.69930e-05
   7.650e-02     3.81201e-02     2.59624e-01     9.72626e+00     7.14473e+00     1.72131e+01     2.01958e+00     5.09999e+07     6.54958e-04      7.13126e+00      8.87988e+00      4.56971e+00      1.14402e+01      7.94288e+00      6.82965e+00      9.18716e+00      8.58372e+00     1.88822e+00     4.79594e-01     5.00776e-01     2.63551e-05     9.23841e-06     2.58956e-06     5.34041e-03     1.15807e-07     7.79111e-03     5.30249e-05     1.89055e-05     2.37624e-03     4.09624e-05     7.69090e-04     6.79084e-05     8.69638e-04     7.79555e-06     4.33396e-04     5.76109e-06     1.03041e-04     4.38882e-06     6.97850e-05     4.60940e-08     3.63828e-06     4.34436e-07     2.12235e-05     1.55136e-05     1.50823e-03     4.08515e-06     8.69844e-05
   7.700e-02     3.87754e-02     2.63346e-01     9.72909e+00     7.14417e+00     1.72114e+01     2.01789e+00     5.09977e+07     6.60976e-04      7.17052e+00      8.90514e+00      4.61343e+00      1.13514e+01      7.75488e+00      6.70509e+00      9.01972e+00      8.40716e+00     1.88692e+00     4.80916e-01     4.99456e-01     2.66637e-05     9.21283e-06     2.58249e-06     5.33993e-03     1.15824e-07     7.79158e-03     5.15938e-05     1.89033e-05     2.37598e-03     4.09579e-05     7.69005e-04     6.79009e-05     8.69542e-04     7.79469e-06     4.33348e-04     5.76045e-06     1.03029e-04     4.38834e-06     6.97773e-05     4.60889e-08     3.63788e-06     4.34388e-07     2.12212e-05     1.55119e-05     1.50806e-03     4.08470e-06     8.69748e-05
   7.750e-02     3.94366e-02     2.67082e-01     9.73190e+00     7.14360e+00     1.72096e+01     2.01619e+00     5.09954e+07     6.66977e-04      7.20886e+00      8.92898e+00      4.65685e+00      1.12610e+01      7.56914e+00      6.58122e+00      8.85323e+00      8.23213e+00     1.88562e+00     4.82238e-01     4.98136e-01     2.69763e-05     9.18724e-06     2.57542e-06     5.33945e-03     1.15841e-07     7.79203e-03     5.01970e-05     1.89011e-05     2.37572e-03     4.09534e-05     7.68921e-04     6.78934e-05     8.69446e-04     7.79383e-06     4.33301e-04     5.75982e-06     1.03018e-04     4.38785e-06     6.97696e-05     4.60838e-08     3.63748e-06     4.34340e-07     2.12188e-05     1.55102e-05     1.50789e-03     4.08425e-06     8.69652e-05
   7.800e-02     4.01036e-02     2.70830e-01     9.73469e+00     7.14304e+00     1.72079e+01     2.01449e+00     5.09929e+07     6.72961e-04      7.24629e+00      8.95144e+00      4.69995e+00      1.11691e+01      7.38571e+00      6.45811e+00      8.68775e+00      8.05871e+00     1.88430e+00     4.83559e-01     4.96817e-01     2.72929e-05     9.16182e-06     2.56838e-06     5.33905e-03     1.15860e-07     7.79254e-03     4.88343e-05     1.88992e-05     2.37549e-03     4.09494e-05     7.68848e-04     6.78868e-05     8.69362e-04     7.79308e-06     4.33259e-04     5.75926e-06     1.03008e-04     4.38743e-06     6.97628e-05     4.60793e-08     3.63713e-06     4.34298e-07     2.12168e-05     1.55087e-05     1.50773e-03     4.08386e-06     8.69568e-05
   7.850e-02     4.07767e-02     2.74592e-01     9.73747e+00     7.14247e+00     1.72062e+01     2.01278e+00     5.09902e+07     6.78936e-04      7.28287e+00      8.97267e+00      4.74278e+00      1.10758e+01      7.20474e+00      6.33592e+00      8.52346e+00      7.88708e+00     1.88298e+00     4.84879e-01     4.95498e-01     2.76136e-05     9.13632e-06     2.56132e-06     5.33865e-03     1.15879e-07     7.79303e-03     4.75048e-05     1.88973e-05     2.37527e-03     4.09455e-05     7.68775e-04     6.78804e-05     8.69280e-04     7.79234e-06     4.33218e-04     5.75872e-06     1.02998e-04     4.38701e-06     6.97563e-05     4.60750e-08     3.63678e-06     4.34257e-07     2.12148e-05     1.55072e-05     1.50758e-03     4.08347e-06     8.69486e-05
   7.900e-02     4.14559e-02     2.78368e-01     9.74023e+00     7.14190e+00     1.72044e+01     2.01107e+00     5.09873e+07     6.84935e-04      7.31896e+00      8.99298e+00      4.78558e+00      1.09817e+01      7.02661e+00      6.21493e+00      8.36085e+00      7.71764e+00     1.88166e+00     4.86199e-01     4.94179e-01     2.79386e-05     9.11066e-06     2.55424e-06     5.33823e-03     1.15897e-07     7.79346e-03     4.62074e-05     1.88953e-05     2.37503e-03     4.09415e-05     7.68699e-04     6.78737e-05     8.69194e-04     7.79157e-06     4.33175e-04     5.75815e-06     1.02988e-04     4.38658e-06     6.97493e-05     4.60704e-08     3.63642e-06     4.34214e-07     2.12127e-05     1.55057e-05     1.50743e-03     4.08307e-06     8.69399e-05
   7.950e-02     4.21409e-02     2.82155e-01     9.74297e+00     7.14133e+00     1.72026e+01     2.00936e+00     5.09842e+07     6.90905e-04      7.35401e+00      9.01177e+00      4.82797e+00      1.08862e+01      6.85087e+00      6.09476e+00      8.19930e+00      7.54987e+00     1.88034e+00     4.87518e-01     4.92862e-01     2.82677e-05     9.08525e-06     2.54722e-06     5.33793e-03     1.15919e-07     7.79403e-03     4.49429e-05     1.88937e-05     2.37485e-03     4.09383e-05     7.68639e-04     6.78684e-05     8.69126e-04     7.79096e-06     4.33141e-04     5.75770e-06     1.02980e-04     4.38624e-06     6.97439e-05     4.60668e-08     3.63614e-06     4.34180e-07     2.12110e-05     1.55045e-05     1.50730e-03     4.08275e-06     8.69332e-05
   8.000e-02     4.28318e-02     2.85954e-01     9.74569e+00     7.14076e+00     1.72009e+01     2.00765e+00     5.09810e+07     6.96857e-04      7.38813e+00      9.02921e+00      4.87001e+00      1.07893e+01      6.67764e+00      5.97553e+00      8.03899e+00      7.38391e+00     1.87901e+00     4.88836e-01     4.91545e-01     2.86012e-05     9.05980e-06     2.54017e-06     5.33763e-03     1.15941e-07     7.79455e-03     4.37094e-05     1.88921e-05     2.37466e-03     4.09350e-05     7.68577e-04     6.78629e-05     8.69056e-04     7.79033e-06     4.33106e-04     5.75723e-06     1.02972e-04     4.38588e-06     6.97383e-05     4.60631e-08     3.63585e-06     4.34145e-07     2.12093e-05     1.55032e-05     1.50717e-03     4.08242e-06     8.69261e-05
   8.050e-02     4.35287e-02     2.89765e-01     9.74840e+00     7.14019e+00     1.71991e+01     2.00593e+00     5.09777e+07     7.02816e-04      7.42155e+00      9.04553e+00      4.91186e+00      1.06916e+01      6.50719e+00      5.85748e+00      7.88029e+00      7.22008e+00     1.87767e+00     4.90154e-01     4.90229e-01     2.89388e-05     9.03395e-06     2.53304e-06     5.33715e-03     1.15958e-07     7.79477e-03     4.25049e-05     1.88898e-05     2.37438e-03     4.09303e-05     7.68490e-04     6.78552e-05     8.68957e-04     7.78945e-06     4.33057e-04     5.75658e-06     1.02960e-04     4.38538e-06     6.97303e-05     4.60579e-08     3.63543e-06     4.34096e-07     2.12069e-05     1.55015e-05     1.50700e-03     4.08195e-06     8.69162e-05
   8.100e-02     4.42315e-02     2.93586e-01     9.75108e+00     7.13961e+00     1.71973e+01     2.00421e+00     5.09741e+07     7.08742e-04      7.45389e+00      9.06030e+00      4.95327e+00      1.05926e+01      6.33928e+00      5.74037e+00      7.72287e+00      7.05811e+00     1.87634e+00     4.91471e-01     4.88914e-01     2.92809e-05     9.00794e-06     2.52585e-06     5.33658e-03     1.15973e-07     7.79486e-03     4.13302e-05     1.88873e-05     2.37408e-03     4.09250e-05     7.68392e-04     6.78464e-05     8.68845e-04     7.78844e-06     4.33001e-04     5.75584e-06     1.02947e-04     4.38482e-06     6.97213e-05     4.60519e-08     3.63496e-06     4.34040e-07     2.12041e-05     1.54995e-05     1.50680e-03     4.08143e-06     8.69050e-05
   8.150e-02     4.49402e-02     2.97417e-01     9.75376e+00     7.13902e+00     1.71954e+01     2.00248e+00     5.09702e+07     7.14683e-04      7.48562e+00      9.07418e+00      4.99453e+00      1.04930e+01      6.17431e+00      5.62463e+00      7.56728e+00      6.89846e+00     1.87500e+00     4.92787e-01     4.87600e-01     2.96274e-05     8.98221e-06     2.51872e-06     5.33614e-03     1.15992e-07     7.79512e-03     4.01866e-05     1.88853e-05     2.37384e-03     4.09208e-05     7.68313e-04     6.78394e-05     8.68755e-04     7.78764e-06     4.32956e-04     5.75524e-06     1.02936e-04     4.38437e-06     6.97142e-05     4.60472e-08     3.63459e-06     4.33995e-07     2.12020e-05     1.54979e-05     1.50663e-03     4.08101e-06     8.68961e-05
   8.200e-02     4.56549e-02     3.01260e-01     9.75642e+00     7.13844e+00     1.71937e+01     2.00075e+00     5.09662e+07     7.20620e-04      7.51657e+00      9.08688e+00      5.03553e+00      1.03926e+01      6.01210e+00      5.51008e+00      7.41329e+00      6.74095e+00     1.87364e+00     4.94101e-01     4.86287e-01     2.99783e-05     8.95667e-06     2.51164e-06     5.33586e-03     1.16015e-07     7.79558e-03     3.90731e-05     1.88838e-05     2.37367e-03     4.09178e-05     7.68256e-04     6.78344e-05     8.68691e-04     7.78707e-06     4.32924e-04     5.75482e-06     1.02929e-04     4.38404e-06     6.97090e-05     4.60438e-08     3.63432e-06     4.33963e-07     2.12004e-05     1.54967e-05     1.50651e-03     4.08071e-06     8.68897e-05
   8.250e-02     4.63754e-02     3.05112e-01     9.75905e+00     7.13786e+00     1.71919e+01     1.99902e+00     5.09620e+07     7.26505e-04      7.54621e+00      9.09774e+00      5.07590e+00      1.02908e+01      5.85230e+00      5.39640e+00      7.26046e+00      6.58516e+00     1.87229e+00     4.95414e-01     4.84976e-01     3.03337e-05     8.93078e-06     2.50449e-06     5.33542e-03     1.16033e-07     7.79581e-03     3.79870e-05     1.88818e-05     2.37343e-03     4.09137e-05     7.68179e-04     6.78276e-05     8.68604e-04     7.78629e-06     4.32881e-04     5.75424e-06     1.02918e-04     4.38360e-06     6.97020e-05     4.60392e-08     3.63396e-06     4.33920e-07     2.11983e-05     1.54952e-05     1.50635e-03     4.08030e-06     8.68810e-05
   8.300e-02     4.71018e-02     3.08973e-01     9.76168e+00     7.13727e+00     1.71901e+01     1.99728e+00     5.09576e+07     7.32395e-04      7.57516e+00      9.10761e+00      5.11606e+00      1.01885e+01      5.69547e+00      5.28411e+00      7.10951e+00      6.43174e+00     1.87095e+00     4.96725e-01     4.83666e-01     3.06938e-05     8.90480e-06     2.49731e-06     5.33491e-03     1.16051e-07     7.79593e-03     3.69285e-05     1.88796e-05     2.37316e-03     4.09091e-05     7.68094e-04     6.78201e-05     8.68508e-04     7.78542e-06     4.32833e-04     5.75360e-06     1.02907e-04     4.38311e-06     6.96943e-05     4.60341e-08     3.63355e-06     4.33871e-07     2.11959e-05     1.54935e-05     1.50618e-03     4.07984e-06     8.68713e-05
   8.350e-02     4.78340e-02     3.12843e-01     9.76429e+00     7.13668e+00     1.71883e+01     1.99554e+00     5.09530e+07     7.38284e-04      7.60334e+00      9.11635e+00      5.15596e+00      1.00855e+01      5.54149e+00      5.17311e+00      6.96029e+00      6.28059e+00     1.86958e+00     4.98035e-01     4.82357e-01     3.10585e-05     8.87894e-06     2.49016e-06     5.33452e-03     1.16070e-07     7.79620e-03     3.58980e-05     1.88778e-05     2.37295e-03     4.09054e-05     7.68026e-04     6.78139e-05     8.68429e-04     7.78471e-06     4.32793e-04     5.75308e-06     1.02898e-04     4.38272e-06     6.96879e-05     4.60299e-08     3.63322e-06     4.33832e-07     2.11940e-05     1.54920e-05     1.50603e-03     4.07947e-06     8.68634e-05
   8.400e-02     4.85721e-02     3.16721e-01     9.76688e+00     7.13609e+00     1.71864e+01     1.99380e+00     5.09481e+07     7.44172e-04      7.63075e+00      9.12406e+00      5.19558e+00      9.98214e+00      5.39043e+00      5.06347e+00      6.81294e+00      6.13176e+00     1.86821e+00     4.99343e-01     4.81051e-01     3.14278e-05     8.85303e-06     2.48299e-06     5.33409e-03     1.16090e-07     7.79642e-03     3.48951e-05     1.88760e-05     2.37274e-03     4.09018e-05     7.67957e-04     6.78079e-05     8.68352e-04     7.78403e-06     4.32755e-04     5.75257e-06     1.02889e-04     4.38233e-06     6.96818e-05     4.60258e-08     3.63290e-06     4.33794e-07     2.11921e-05     1.54907e-05     1.50590e-03     4.07911e-06     8.68558e-05
   8.450e-02     4.93160e-02     3.20607e-01     9.76946e+00     7.13550e+00     1.71846e+01     1.99205e+00     5.09432e+07     7.50035e-04      7.65715e+00      9.13032e+00      5.23474e+00      9.87796e+00      5.24209e+00      4.95507e+00      6.66722e+00      5.98505e+00     1.86685e+00     5.00650e-01     4.79746e-01     3.18018e-05     8.82684e-06     2.47573e-06     5.33348e-03     1.16105e-07     7.79638e-03     3.39173e-05     1.88736e-05     2.37246e-03     4.08969e-05     7.67865e-04     6.77997e-05     8.68247e-04     7.78308e-06     4.32703e-04     5.75187e-06     1.02876e-04     4.38180e-06     6.96734e-05     4.60202e-08     3.63246e-06     4.33741e-07     2.11896e-05     1.54888e-05     1.50571e-03     4.07862e-06     8.68452e-05
   8.500e-02     5.00658e-02     3.24501e-01     9.77202e+00     7.13490e+00     1.71828e+01     1.99030e+00     5.09380e+07     7.55875e-04      7.68258e+00      9.13522e+00      5.27347e+00      9.77309e+00      5.09648e+00      4.84794e+00      6.52318e+00      5.84051e+00     1.86548e+00     5.01955e-01     4.78443e-01     3.21807e-05     8.80067e-06     2.46848e-06     5.33291e-03     1.16122e-07     7.79639e-03     3.29653e-05     1.88713e-05     2.37219e-03     4.08922e-05     7.67778e-04     6.77920e-05     8.68148e-04     7.78219e-06     4.32653e-04     5.75122e-06     1.02864e-04     4.38130e-06     6.96654e-05     4.60150e-08     3.63205e-06     4.33692e-07     2.11871e-05     1.54870e-05     1.50553e-03     4.07815e-06     8.68353e-05
   8.550e-02     5.08214e-02     3.28402e-01     9.77456e+00     7.13431e+00     1.71809e+01     1.98855e+00     5.09326e+07     7.61711e-04      7.70720e+00      9.13905e+00      5.31189e+00      9.66784e+00      4.95374e+00      4.74220e+00      6.38102e+00      5.69831e+00     1.86410e+00     5.03258e-01     4.77141e-01     3.25644e-05     8.77476e-06     2.46130e-06     5.33252e-03     1.16141e-07     7.79666e-03     3.20400e-05     1.88698e-05     2.37201e-03     4.08890e-05     7.67719e-04     6.77868e-05     8.68081e-04     7.78159e-06     4.32620e-04     5.75077e-06     1.02856e-04     4.38096e-06     6.96600e-05     4.60114e-08     3.63177e-06     4.33658e-07     2.11855e-05     1.54858e-05     1.50541e-03     4.07784e-06     8.68286e-05
   8.600e-02     5.15828e-02     3.32310e-01     9.77710e+00     7.13370e+00     1.71791e+01     1.98679e+00     5.09270e+07     7.67550e-04      7.73109e+00      9.14182e+00      5.35003e+00      9.56240e+00      4.81396e+00      4.63796e+00      6.24090e+00      5.55855e+00     1.86272e+00     5.04559e-01     4.75842e-01     3.29530e-05     8.74850e-06     2.45404e-06     5.33194e-03     1.16157e-07     7.79663e-03     3.11394e-05     1.88676e-05     2.37175e-03     4.08846e-05     7.67636e-04     6.77794e-05     8.67987e-04     7.78075e-06     4.32573e-04     5.75015e-06     1.02845e-04     4.38049e-06     6.96525e-05     4.60065e-08     3.63137e-06     4.33611e-07     2.11832e-05     1.54842e-05     1.50524e-03     4.07740e-06     8.68192e-05
   8.650e-02     5.23500e-02     3.36224e-01     9.77962e+00     7.13310e+00     1.71772e+01     1.98503e+00     5.09212e+07     7.73365e-04      7.75398e+00      9.14329e+00      5.38773e+00      9.45647e+00      4.67696e+00      4.53508e+00      6.10258e+00      5.42103e+00     1.86134e+00     5.05859e-01     4.74544e-01     3.33466e-05     8.72220e-06     2.44678e-06     5.33138e-03     1.16174e-07     7.79660e-03     3.02637e-05     1.88655e-05     2.37150e-03     4.08804e-05     7.67556e-04     6.77724e-05     8.67897e-04     7.77994e-06     4.32528e-04     5.74955e-06     1.02835e-04     4.38003e-06     6.96453e-05     4.60017e-08     3.63100e-06     4.33566e-07     2.11810e-05     1.54826e-05     1.50508e-03     4.07697e-06     8.68102e-05
   8.700e-02     5.31230e-02     3.40145e-01     9.78212e+00     7.13250e+00     1.71753e+01     1.98327e+00     5.09152e+07     7.79156e-04      7.77587e+00      9.14341e+00      5.42494e+00      9.35002e+00      4.54265e+00      4.43352e+00      5.96603e+00      5.28570e+00     1.85995e+00     5.07156e-01     4.73249e-01     3.37453e-05     8.69612e-06     2.43955e-06     5.33092e-03     1.16193e-07     7.79670e-03     2.94120e-05     1.88637e-05     2.37130e-03     4.08768e-05     7.67488e-04     6.77664e-05     8.67821e-04     7.77926e-06     4.32490e-04     5.74905e-06     1.02826e-04     4.37965e-06     6.96392e-05     4.59977e-08     3.63068e-06     4.33528e-07     2.11792e-05     1.54812e-05     1.50494e-03     4.07662e-06     8.68026e-05
   8.750e-02     5.39018e-02     3.44071e-01     9.78461e+00     7.13190e+00     1.71735e+01     1.98151e+00     5.09090e+07     7.84945e-04      7.79702e+00      9.14247e+00      5.46185e+00      9.24347e+00      4.41123e+00      4.33345e+00      5.83153e+00      5.15278e+00     1.85857e+00     5.08450e-01     4.71956e-01     3.41490e-05     8.66994e-06     2.43229e-06     5.33038e-03     1.16211e-07     7.79666e-03     2.85834e-05     1.88616e-05     2.37104e-03     4.08726e-05     7.67410e-04     6.77595e-05     8.67731e-04     7.77846e-06     4.32446e-04     5.74846e-06     1.02815e-04     4.37920e-06     6.96320e-05     4.59929e-08     3.63031e-06     4.33484e-07     2.11770e-05     1.54796e-05     1.50478e-03     4.07620e-06     8.67937e-05
   8.800e-02     5.46863e-02     3.48002e-01     9.78709e+00     7.13129e+00     1.71716e+01     1.97974e+00     5.09026e+07     7.90730e-04      7.81735e+00      9.14053e+00      5.49842e+00      9.13682e+00      4.28269e+00      4.23490e+00      5.69907e+00      5.02224e+00     1.85717e+00     5.09742e-01     4.70666e-01     3.45580e-05     8.64358e-06     2.42502e-06     5.32983e-03     1.16227e-07     7.79656e-03     2.77782e-05     1.88594e-05     2.37078e-03     4.08682e-05     7.67327e-04     6.77522e-05     8.67639e-04     7.77763e-06     4.32400e-04     5.74785e-06     1.02804e-04     4.37873e-06     6.96245e-05     4.59880e-08     3.62992e-06     4.33437e-07     2.11747e-05     1.54779e-05     1.50462e-03     4.07576e-06     8.67844e-05
   8.850e-02     5.54766e-02     3.51938e-01     9.78955e+00     7.13068e+00     1.71697e+01     1.97797e+00     5.08960e+07     7.96483e-04      7.83661e+00      9.13725e+00      5.53444e+00      9.02977e+00      4.15679e+00      4.13772e+00      5.56840e+00      4.89387e+00     1.85576e+00     5.11033e-01     4.69377e-01     3.49721e-05     8.61734e-06     2.41775e-06     5.32931e-03     1.16245e-07     7.79645e-03     2.69954e-05     1.88573e-05     2.37053e-03     4.08639e-05     7.67245e-04     6.77450e-05     8.67546e-04     7.77680e-06     4.32354e-04     5.74723e-06     1.02793e-04     4.37826e-06     6.96171e-05     4.59831e-08     3.62953e-06     4.33391e-07     2.11725e-05     1.54763e-05     1.50445e-03     4.07533e-06     8.67751e-05
   8.900e-02     5.62726e-02     3.55878e-01     9.79199e+00     7.13008e+00     1.71678e+01     1.97620e+00     5.08893e+07     8.02223e-04      7.85501e+00      9.13279e+00      5.57007e+00      8.92264e+00      4.03369e+00      4.04203e+00      5.43975e+00      4.76786e+00     1.85436e+00     5.12321e-01     4.68091e-01     3.53915e-05     8.59104e-06     2.41046e-06     5.32873e-03     1.16262e-07     7.79623e-03     2.62342e-05     1.88549e-05     2.37025e-03     4.08590e-05     7.67154e-04     6.77369e-05     8.67443e-04     7.77587e-06     4.32302e-04     5.74655e-06     1.02781e-04     4.37774e-06     6.96088e-05     4.59776e-08     3.62910e-06     4.33339e-07     2.11699e-05     1.54745e-05     1.50426e-03     4.07484e-06     8.67648e-05
   8.950e-02     5.70742e-02     3.59822e-01     9.79442e+00     7.12947e+00     1.71660e+01     1.97443e+00     5.08823e+07     8.07950e-04      7.87255e+00      9.12719e+00      5.60528e+00      8.81545e+00      3.91335e+00      3.94782e+00      5.31311e+00      4.64418e+00     1.85296e+00     5.13606e-01     4.66808e-01     3.58162e-05     8.56466e-06     2.40314e-06     5.32812e-03     1.16279e-07     7.79592e-03     2.54943e-05     1.88524e-05     2.36996e-03     4.08538e-05     7.67056e-04     6.77283e-05     8.67332e-04     7.77488e-06     4.32247e-04     5.74581e-06     1.02768e-04     4.37718e-06     6.95999e-05     4.59717e-08     3.62863e-06     4.33284e-07     2.11672e-05     1.54725e-05     1.50406e-03     4.07432e-06     8.67537e-05
   9.000e-02     5.78817e-02     3.63770e-01     9.79684e+00     7.12885e+00     1.71640e+01     1.97265e+00     5.08751e+07     8.13658e-04      7.88915e+00      9.12041e+00      5.64002e+00      8.70818e+00      3.79569e+00      3.85507e+00      5.18840e+00      4.52277e+00     1.85155e+00     5.14888e-01     4.65527e-01     3.62464e-05     8.53841e-06     2.39587e-06     5.32761e-03     1.16297e-07     7.79572e-03     2.47762e-05     1.88502e-05     2.36969e-03     4.08492e-05     7.66971e-04     6.77207e-05     8.67235e-04     7.77401e-06     4.32199e-04     5.74517e-06     1.02756e-04     4.37669e-06     6.95922e-05     4.59666e-08     3.62823e-06     4.33236e-07     2.11649e-05     1.54708e-05     1.50389e-03     4.07387e-06     8.67440e-05
